42	42	Window_Base	0042__id_42.rb	16838	eecc97819a8415752dd95afc726ab9a57f88979bb1ce5187626b7fb7075bc9f7
43	43	Window_Selectable	0043__id_43.rb	9830	76d5458fb29c97d5430b57d2f81d3a3e589f228790ee14111a77de08f3f92400
44	44	Window_Command	0044__id_44.rb	2282	f3aa6bd4ff3162e06997466f7ac8fbff6a0ea369c55e0890bec485da12310745
45	45	Window_Help	0045__id_45.rb	1190	685d451798f6b9b6b3227803b8e60482d39f3d0314f6b368dfde2292feb82b0b
46	46	Window_Gold	0046__id_46.rb	949	de086426dde1bf4ecd93a4b4756980c0756f7e25caaf100f39f1a774f72eecdd
47	47	Window_MenuStatus	0047__id_47.rb	2062	6c7a7528ce8f957175c45ee6385f53749be118f7f3d4a6d8c4ea7cf891da3de8
48	48	Window_Item	0048__id_48.rb	3178	8630ecc02cc0de670856f497ea9828ad9a3743e41fe4f6e7c993ba26b1783489
49	49	Window_Skill	0049__id_49.rb	2413	16168ffcdbc30130e1b82e6337f8b19a751af857686ee12e783191a7e74ad3a1
50	50	Window_SkillStatus	0050__id_50.rb	1135	ab137edf7c16120a2e7b8a712e4cf303c8327c6e8324e492f286495fd45f29f8
51	51	Window_Equip	0051__id_51.rb	2406	c046ed265c54bfa02ac2dd9ce2865c9c574d454fa1d92c9c8533d7a65afb4758
52	52	Window_EquipItem	0052__id_52.rb	1888	29e1b971822721a442b3bf5367f2cb64a16f30bb2a146be752226e1ce8d84783
53	53	Window_EquipStatus	0053__id_53.rb	3666	706281be17a3b2b054f7f232e976ce32c44ca40ff6c2c335e99acdd3be163478
54	54	Window_Status	0054__id_54.rb	3338	e287e33d4f770b2d7b7d6ca93d8a9ff1943839576ddb372f8cf87813b9069381
55	55	Window_SaveFile	0055__id_55.rb	4559	bcad3ed2e2e82dcf7698d609c3ae44e09c9d1040d1fcfc5a46d7de9389884b9d
56	56	Window_ShopBuy	0056__id_56.rb	2438	38199a61154bb5c8250002b40efcebbaafed136d60e5259207997609cac29e9f
57	57	Window_ShopSell	0057__id_57.rb	1354	193c5b96fca22a434999096ed8357f6f6079057223aebe1a821deed0d17b89f3
58	58	Window_ShopNumber	0058__id_58.rb	2598	92cc3f29a35e38bf14bd8876ce03db3800357572e079b03bb4a2db572a55dafd
59	59	Window_ShopStatus	0059__id_59.rb	3583	4c16fcfa3e27aca00981c04208d59471723cd9796409fcb8728711f47097dde9
60	60	Window_NameEdit	0060__id_60.rb	3938	969f7092a2f569a4ea060bd4c58de2ff4424fea915a156028adffdf51c391837
61	61	Window_NameInput	0061__id_61.rb	6511	9910c770ae5999ab0589e6a088fffc999526aa8402e30ff95c21ae08b8680804
62	62	Window_NumberInput	0062__id_62.rb	4191	d26dda0ff9a786a1d4f77e275d611b8fb342a636e4156a1881d1d5b405b5ffcc
63	63	Window_Message	0063__id_63.rb	15878	4fee7e248b70261c02f65e388c3f146ed29f71962cbec47ea0bdcafbaf9e4f18
64	64	Window_BattleMessage	0064__id_64.rb	4507	1eca2bcaac5847ec0da0c515818ccf685c75a3facc44c22be7724e021e462836
65	65	Window_PartyCommand	0065__id_65.rb	788	49a95c048eab22ef9f1f39750bc64782de0ea73242e47a139b1f7698db3cd8b5
66	66	Window_ActorCommand	0066__id_66.rb	1206	7f077940857d1a1b68478a247a85cb01fc03a9edc4c8f58f54e70d534537b2f7
67	67	Window_TargetEnemy	0067__id_67.rb	1056	c2154ede36ead7a1f7bb15c204902ec4193089ede010a355cb24c879228a6b3f
68	68	Window_BattleStatus	0068__id_68.rb	1799	babbeea6a10b2ec17ee3ae5360648416e0c8a61ea01e1551f00a0bef49312a88
69	69	Window_DebugLeft	0069__id_69.rb	2384	71e3a6281db4761addce5fee22513985cd2fd62736aba92ede886e2ec8c7d6a5
70	70	Window_DebugRight	0070__id_70.rb	3035	4474e8ad9196c821f3a551bfbc2caeb436c1fa8a89bfae148d057177e29a4966
71	71		0071__id_71.rb	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
72	72	▼ Scenes	0072__id_72.rb	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
73	73	Scene_Base	0073__id_73.rb	3844	e20a112766dfe422797b3ed7a039a7ef3892d73569085116db11e72e3cb5187e
74	74	Scene_Title	0074__id_74.rb	10862	2df082cbb434e67dad167e36c4bdea21574add936945862c007be7d2b17b8177
75	75	Scene_Map	0075__id_75.rb	10651	b8113fbb860b1f821e2420a2e924162f57c0293d41a2f9f9200004aacf72bd3e
76	76	Scene_Menu	0076__id_76.rb	5244	f424b94c061472611b69060856801a32cc143e7232736e0c48dbc5a130f6ad8a
77	77	Scene_Item	0077__id_77.rb	6343	815eda45ecfcba040cdf104030e7a1a89288be44e1482da081c3c9a69e795c75
78	78	Scene_Skill	0078__id_78.rb	7804	3ecf15ffa9278280d31e4654e1a347eb4e2cb9186ad4b3a72b2eb0354f6840c8
79	79	Scene_Equip	0079__id_79.rb	7047	1dff58b827a164f16ddcaaade408d111eee5b18f486db3667def9451d97f01a4
80	80	Scene_Status	0080__id_80.rb	2724	43731bdc83fe513aef6857e8e4f58355608c72f678cf07cf313d184b42f18e1a
81	81	Scene_File	0081__id_81.rb	9222	60626589f81e6f4aa32aa4c42578ac6a83f2a754e666a9dd652bdd9d4ff495da
82	82	Scene_End	0082__id_82.rb	5053	884bf9e2a5e546ce11da663ae06adf4f55ec058ab142f3042771e4ffa3b90e0e
83	83	Scene_Shop	0083__id_83.rb	8408	5da5ebf89b91e9cb1ca4e1a9b89673be070ecbb01c10cca040616cd155f4e7c3
84	84	Scene_Name	0084__id_84.rb	2642	7834f282778aec4fb9c7d4276a1965acff51892762873c674464942e165d9788
85	85	Scene_Debug	0085__id_85.rb	4541	f91652d9320e21419122c8282eff1ca2d45065a17de624d866cac707e2918f46
86	86	Scene_Battle	0086__id_86.rb	43947	5c6c94a33c6fa9ef5e8dfc6ec01e0e766b60f2a0b8f90fa248fbe3d3d7ae301a
87	87	Scene_Gameover	0087__id_87.rb	2149	cd0add9ece27796195c348e8a544346d8cdf3f8bae41807a08c1896b20226c48
88	88		0088__id_88.rb	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
89	89	▼ Materials	0089__id_89.rb	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
90	90		0090__id_90.rb	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
91	91		0091__id_91.rb	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
